Alkaline phosphatase,,,,,,,,,,,,,,,,,,
Soil,Samples ID,Repetition,Weight (g),Weight (dry g equivalent),Volume (mL),Dilution factor,Absorbance,ug PNP,ug PNP/ g soil * h,Mean,SD,,,,,Concentration (ug),Absorbance,Absorbance correct
Forest - TWW Control,S4,1,1.0017,,1,1,0.2124,15.52857143,,,,,,,,0,0.1136,0
Forest - TWW Control,S4,2,1.0022,,1,1,0.1802,13.22857143,,,,,,,,20,0.386,0.2724
Forest - Living filter TWW irrigation,S4,1,1.0073,0.7917378,1,5,0.794,285.3571429,342.257969,335.8405196,4.528184498,,,,,40,0.6609,0.5473
Forest - Living filter TWW irrigation,S4,2,1.008,0.792288,1,5,0.7783,279.75,334.9431376,,,,,,,60,0.9618,0.8482
Forest - Living filter TWW irrigation,S4,3,1.0092,0.7932312,1,5,0.7783,279.75,334.5448699,,,,,,,80,1.2185,1.1049
Forest - Living filter TWW irrigation,S4,4,1.004,0.789144,1,5,0.768,276.0714286,331.6161019,,,,,,,100,1.5164,1.4028
Forest nonirrigated Control,S5,1,1.0015,,1,1,0.281,20.42857143,,,,,,,,,,
Forest nonirrigated Control,S5,2,1.0091,,1,1,0.2526,18.4,,,,,,,,,,
Forest - Living filter nonirrigated,S5,1,1.0039,0.7619601,1,1,0.5126,36.97142857,23.04207643,20.49673689,1.98028144,,,,,,,
Forest - Living filter nonirrigated,S5,2,1.0049,0.7627191,1,1,0.4818,34.77142857,20.13472962,,,,,,,,,
Forest - Living filter nonirrigated,S5,3,1.005,0.762795,1,1,0.4866,35.11428571,20.58220098,,,,,,,,,
Forest - Living filter nonirrigated,S5,4,1.0016,0.7602144,1,1,0.4608,33.27142857,18.22794051,,,,,,,,,
Agricultural - Living filter TWW irrigation Control,S6,1,1.0067,,1,1,0.256,18.64285714,,,,,,,,,,
Agricultural - Living filter TWW irrigation Control,S6,2,1.0022,,1,1,0.2134,15.6,,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,1,1.0081,0.856885,1,5,0.7203,259.0357143,282.3182641,290.0713235,8.468284725,,,,,,,
Agricultural - Living filter TWW irrigation,S6,2,1.0069,0.855865,1,5,0.7232,260.0714286,283.8648619,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,3,1.0097,0.858245,1,5,0.7642,274.7142857,300.1390712,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,4,1.0059,0.855015,1,5,0.7467,268.4642857,293.9630967,,,,,,,,,
Agricultural - Living filter nonirrigated  Control,S7,1,1.0035,,1,1,0.1354,10.02857143,,,,,,,,,,
Agricultural - Living filter nonirrigated Control,S7,2,1.0069,,1,1,0.1396,10.32857143,,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,1,1.0035,0.8078175,1,2,0.6747,97.1,107.6003288,103.5266534,3.112078103,,,,,,,
Agricultural - Living filter nonirrigated,S7,2,1.0033,0.8076565,1,2,0.6463,93.04285714,102.5984261,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,3,1.009,0.812245,1,2,0.6563,94.47142857,103.7776252,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,4,1.0057,0.8095885,1,2,0.6337,91.24285714,100.1302337,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acid phosphatase,,,,,,,,,,,,,,,,,,
Soil,Samples ID,Repetition,Weight (g),,Volume (mL),Dilution factor,Absorbance,ug PNP,ug PNP/g soil*h,Mean,SD,,,,,,,
Forest - TWW Control,S4,1,1.0067,,1,1,0.274,19.92857143,,,,,,,,,,
Forest - TWW Control,S4,2,1.0041,,1,1,0.295,21.42857143,,,,,,,,,,
Forest - Living filter TWW irrigation,S4,1,1.0059,0.7906374,1,5,0.367,132.8571429,141.8837149,139.2078681,2.279919486,,,,,,,
Forest - Living filter TWW irrigation,S4,2,1.0024,0.7878864,1,5,0.358,129.6428571,138.299488,,,,,,,,,
Forest - Living filter TWW irrigation,S4,3,1.005,0.78993,1,5,0.355,128.5714286,136.5853394,,,,,,,,,
Forest - Living filter TWW irrigation,S4,4,1.006,0.790716,1,5,0.363,131.4285714,140.0629303,,,,,,,,,
Forest nonirrigated Control,S5,1,1.0031,,1,1,0.229,16.71428571,,,,,,,,,,
Forest nonirrigated Control,S5,2,1.0074,,1,1,0.258,18.78571429,,,,,,,,,,
Forest - Living filter nonirrigated,S5,1,1.0024,0.7608216,1,5,0.467,168.5714286,198.2349457,189.912893,7.104640408,,,,,,,
Forest - Living filter nonirrigated,S5,2,1.0068,0.7641612,1,5,0.432,156.0714286,181.0107979,,,,,,,,,
Forest - Living filter nonirrigated,S5,3,1.0089,0.7657551,1,5,0.45,162.5,189.0291034,,,,,,,,,
Forest - Living filter nonirrigated,S5,4,1.0039,0.7619601,1,5,0.453,163.5714286,191.3767251,,,,,,,,,
Agricultural - Living filter TWW irrigation Control,S6,1,1.0056,,1,1,0.418,30.21428571,,,,,,,,,,
Agricultural - Living filter TWW irrigation Control,S6,2,1.0087,,1,1,0.452,32.64285714,,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,1,1.0012,0.85102,1,5,0.369,133.5714286,120.0240384,122.0698889,5.07085802,,,,,,,
Agricultural - Living filter TWW irrigation,S6,2,1.0015,0.851275,1,5,0.36,130.3571429,116.2122363,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,3,1.0022,0.85187,1,5,0.379,137.1428571,124.0967351,,,,,,,,,
Agricultural - Living filter TWW irrigation,S6,4,1.0016,0.85136,1,5,0.388,140.3571429,127.946546,,,,,,,,,
Agricultural - Living filter nonirrigated  Control,S7,1,1.0029,,1,1,0.3,21.78571429,,,,,,,,,,
Agricultural - Living filter nonirrigated Control,S7,2,1.0067,,1,1,0.305,22.14285714,,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,1,1.008,0.81144,1,5,0.541,195,213.245236,206.9790984,5.193883242,,,,,,,
Agricultural - Living filter nonirrigated,S7,2,1.004,0.80822,1,5,0.515,185.7142857,204.1965236,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,3,1.0023,0.8068515,1,5,0.525,189.2857143,208.9692377,,,,,,,,,
Agricultural - Living filter nonirrigated,S7,4,1.0064,0.810152,1,5,0.51,183.9285714,201.5053965,,,,,,,,,
