Calibration curve made from ,,,,,,,,,,,
,,,,Calibration curve,,,,,,,
,,,ug,absorbance,,,,,,,
,,,0,0.1136,0,,,,,,
,,,20,0.386,0.2724,,,,,,
,,,40,0.6609,0.5473,,,,,,
,,,60,0.9618,0.8482,,,,,,
,,,80,1.2185,1.1049,,,,,,
,,,100,1.5164,1.4028,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sample,Absorbance,Calculated mg/L,blank-corrected mg/L,Accuracy (%),Accurary (mean %),SD,%RSD
,,,,Blank,,,,,,,
,,,,Blank,0.12,0.814,0.786,,,,
,,,,Blank,0.1192,0.757,,,,,
,,,,,,,,,,,
,,,,20 ug,0.391,20.171,19.386,96.9,96.4,0.309706906,1.607078087
,,,,20 ug,0.389,20.029,19.243,96.2,,,
,,,,20 ug,0.383,19.600,18.814,94.1,,,
,,,,20 ug,0.395,20.457,19.671,98.4,,,
,,,,20 ug,0.389,20.029,19.243,96.2,,,
,,,,40 ug,0.667,39.886,39.100,97.8,98.1,0.490730401,1.250041051
,,,,40 ug,0.669,40.029,39.243,98.1,,,
,,,,40 ug,0.676,40.529,39.743,99.4,,,
,,,,40 ug,0.675,40.457,39.671,99.2,,,
,,,,40 ug,0.659,39.314,38.529,96.3,,,
,,,,60 ug,0.932,58.814,58.029,96.7,99.3,1.056563548,1.774033302
,,,,60 ug,0.961,60.886,60.100,100.2,,,
,,,,60 ug,0.95,60.100,59.314,98.9,,,
,,,,60 ug,0.972,61.671,60.886,101.5,,,
,,,,60 ug,0.952,60.243,59.457,99.1,,,
