Fe2+ ,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples ID,Descriptiom,Repetition,Weight (g),Weight adjust (dry soil),Volume (mL),Dilution factor,Absorbance,mg/L,Fe mg/kg,Fe umol/g,Mean mg/kg,SD mg/kg,Fe umol/kg,SD,,,,,,,,,,,,
Blank1,,,,,,,0.0295,0.02955,,,,,,,,,,,,,,,,,,
Blank2,,,,,,1,0.0296,,,,,,,,,,,,,,,,,,,
S4,Forest - Living filter TWW irrigation,1,0.1042,0.1042,5,1,0.0355,0.372641509,17.88107051,0.320162408,21.33169321,2.858840064,0.381946163,0.051187826,,,,,,,,,,,,
S4,Forest - Living filter TWW irrigation,2,0.1082,0.1082,5,1,0.0372,0.533018868,24.63118613,0.441023924,,,,,,,,,,,,,,,,
S4,Forest - Living filter TWW irrigation,3,0.1021,0.1021,5,1,0.0362,0.438679245,21.48282298,0.384652157,,,,,,,,,,,,,,,,
S4,Forest - Living filter TWW irrigation,4,0.1035,0.1035,5,1,0.0359,0.410377358,19.82499316,0.354968544,,,,,,,,,,,,,,,,
S5,Forest - Living filter nonirrigated,1,0.1016,0.1016,5,1,0.0408,0.872641509,42.94495617,0.768933862,40.28889442,2.660002069,0.721376803,0.047627611,,,,,,,,,,,,
S5,Forest - Living filter nonirrigated,2,0.1073,0.1073,5,1,0.0407,0.863207547,40.22402363,0.720215284,,,,,,,,,,,,,,,,
S5,Forest - Living filter nonirrigated,3,0.1087,0.1087,5,1,0.04,0.797169811,36.66834459,0.656550485,,,,,,,,,,,,,,,,
S5,Forest - Living filter nonirrigated,4,0.1056,0.1056,5,1,0.0408,0.872641509,41.31825329,0.739807579,,,,,,,,,,,,,,,,
S6,Agricultural - Living filter TWW irrigation,1,0.1011,0.1011,5,1,0.0375,0.561320755,27.76067036,0.497057661,31.49233885,2.596039505,0.563873569,0.046482355,,,,,,,,,,,,
S6,Agricultural - Living filter TWW irrigation,2,0.1013,0.1013,5,1,0.0388,0.683962264,33.75924305,0.604462722,,,,,,,,,,,,,,,,
S6,Agricultural - Living filter TWW irrigation,3,0.1009,0.1009,5,1,0.0384,0.646226415,32.02311274,0.573377131,,,,,,,,,,,,,,,,
S6,Agricultural - Living filter TWW irrigation,4,0.1011,0.1011,5,1,0.0385,0.655660377,32.42632925,0.580596764,,,,,,,,Calibration t=0,,,,,,,,
S7,Agricultural - Living filter nonirrigated,1,0.1016,0.1016,5,1,0.0378,0.589622642,29.01686228,0.519549907,29.75678632,2.004210047,0.532798323,0.035885587,,,,Fe2+ (mg),Absorbance,Adjusted,,,,,,
S7,Agricultural - Living filter nonirrigated,2,0.1082,0.1082,5,1,0.039,0.702830189,32.47828968,0.581527121,,,,,,,,0,0.0363,0,,,,,,
S7,Agricultural - Living filter nonirrigated,3,0.1012,0.1012,5,1,0.0375,0.561320755,27.73323887,0.496566497,,,,,,,,1,0.0484,0.0121,,,,,,
S7,Agricultural - Living filter nonirrigated,4,0.1021,0.1021,5,1,0.038,0.608490566,29.79875446,0.533549766,,,,,,,,2,0.0619,0.0256,,,,,,
,,,,,,,,,,,,,,,,,,3,0.0712,0.0349,,,,,,
,,,,,,,,,,,,,,,,,,5,0.0903,0.054,,,,,,
,,,,,,,,,,,,,,,,,,7,0.1148,0.0785,,,,,,
,,,,,,,,,,,,,,,,,,10,0.1432,0.1069,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Fe2+,,,,,,,,
,,,,,,,,,,,,,,,,,Time,T1,SD T1,T2,SD T2,,,,,
,,,,,,,,,,,,,,,,,0,74.01397489,4.951503813,71.00279144,4.245405409,,1.960568364,0.282826066,2.321688072,0.327205045
,,,,,,,,,,,,,,,,,24,74.50104871,4.084920829,69.96500218,2.928210293,,2.784906748,0.291427375,3.196328546,0.417546875
,,,,,,,,,,,,,,,,,48,54.99850432,7.604793554,56.58820541,3.104493299,,4.847084976,0.286797132,4.567982172,0.559427593
,,,,,,,,,,,,,,,,,72,56.44856052,2.942002965,57.74078237,1.073395113,,6.480007804,0.629736202,5.867952528,0.440303374
,,,,,,,,,,,,,,,,,96,50.57397843,3.216066667,61.60367996,7.265597964,,7.175633117,0.939251015,6.675071976,0.805090713
,,,,,,,,,,,,,,,,,120,61.99730506,3.717919808,61.87581559,0.749147496,,8.97518492,1.212968799,7.483885691,0.857336214
