Non-Sterilized soil,,,,,,,,,,,,,,,,,
Soil,Samples ID,Repetition,Weight (g),Weight (dry g equivalent),Volume (mL),Dilution factor,Absorbance,mg P/L,mg P/kg,Mean,SD,,,,,Concentration (ug),Absorbance
Forest - TWW spiked,S4,1,1.0079,0.7922094,40,4,0.2534,1.189836449,240.3074639,242.8419684,3.584330638,,,,,,
Forest - TWW spiked,S4,2,1.0084,0.7926024,40,4,0.2578,1.215537383,245.3764729,,,,,,,,
Forest -TWW,S4,1,1.0069,0.7914234,40,4,0.2402,1.112733645,224.9584523,217.7032801,5.44664204,,,,,40,0.6609
Forest -TWW,S4,2,1.0093,0.7933098,40,4,0.2295,1.050233645,211.8181109,,,,,,,60,0.9618
Forest -TWW,S4,3,1.0094,0.7933884,40,4,0.2334,1.073014019,216.3911686,,,,,,,80,1.2185
Forest -TWW,S4,4,1.0085,0.792681,40,4,0.2343,1.078271028,217.6453889,,,,,,,,
Forest nonirrigated spiked,S5,1,1.0075,0.7646925,40,2,0.1326,0.484228972,50.65868667,52.73510067,2.936492832,,,,,,
Forest nonirrigated spiked,S5,2,1.0053,0.7630227,40,2,0.1392,0.522780374,54.81151466,,,,,,,,
Forest nonirrigated,S5,1,1.0056,0.7632504,40,2,0.0976,0.27978972,29.32612622,30.43558675,2.816392732,,,,,,
Forest nonirrigated,S5,2,1.0033,0.7615047,40,2,0.1056,0.326518692,34.3024742,,,,,,,,
Forest nonirrigated,S5,3,1.0077,0.7648443,40,2,0.095,0.264602804,27.67651442,,,,,,,,
Forest nonirrigated,S5,4,1.0053,0.7630227,40,2,0.0994,0.290303738,30.43723216,,,,,,,,
Agricultural-TWW spiked,S6,1,1.0069,0.855865,40,2,0.3802,1.930490654,180.4481458,174.6290997,8.229373967,,,,,,
Agricultural-TWW spiked,S6,2,1.0063,0.855355,40,2,0.3587,1.804906542,168.8100536,,,,,,,,
Agricultural-TWW,S6,1,1.0077,0.856545,40,2,0.3343,1.662383178,155.2640599,152.2339286,3.008186182,,,,,,
Agricultural-TWW,S6,2,1.0078,0.85663,40,2,0.3233,1.598130841,149.2481787,,,,,,,,
Agricultural-TWW,S6,3,1.0053,0.854505,40,2,0.328,1.625584112,152.1895471,,,,,,,,
Agricultural-TWW,S6,4,1.0069,0.855865,40,2,0.328,1.625584112,151.9477125,,,,,,,,
Agricultural nonirrigated spiked,S7,1,1.0046,0.808703,40,2,0.2457,1.144859813,113.2539202,111.5797652,2.367612766,,,,,,
Agricultural nonirrigated spiked,S7,2,1.0051,0.8091055,40,2,0.24,1.111565421,109.9056101,,,,,,,,
Agricultural nonirrigated,S7,1,1.0035,0.8078175,40,2,0.1935,0.839953271,83.18247832,84.16217836,1.284937657,,,,,,
Agricultural nonirrigated,S7,2,1.0094,0.812567,40,2,0.1949,0.848130841,83.50138178,,,,,,,,
Agricultural nonirrigated,S7,3,1.0087,0.8120035,40,2,0.1992,0.873247664,86.03388173,,,,,,,,
Agricultural nonirrigated,S7,4,1.007,0.810635,40,2,0.1953,0.85046729,83.93097162,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sterilized soil,,,,,,,,,,,,Non-sterilized,Microbial P,,,,
Soil,Samples ID,Repetition,Weight (g),,Volume (mL),Dilution factor,Absorbance,mg P/L,mg P/kg,Mean,SD,mg P/kg,ug/g,Mean,SD,ug/g factor 0.4,SD
Forest -TWW,S4,1,1.007,0.791502,40,4,0.2783,1.335280374,269.9233354,266.0758045,4.809546878,224.9584523,112.4122077,120.931311,15.785629,120.2641421,15.785629
Forest -TWW,S4,2,1.0037,0.7889082,40,4,0.2768,1.326518692,269.033825,,,211.8181109,143.0392854,,,,
Forest -TWW,S4,3,1.0088,0.7929168,40,4,0.2697,1.285046729,259.3052343,,,216.3911686,107.2851645,,,,
Forest -TWW,S4,4,1.0065,0.791109,40,4,0.2749,1.315420561,266.0408234,,,217.6453889,120.9885862,,,,
Forest nonirrigated,S5,1,1.0075,0.7646925,40,2,0.1299,0.468457944,49.00876563,53.13279805,4.30513389,29.32612622,49.20659853,56.74302825,15.56295052,63.61464702,15.56295052
Forest nonirrigated,S5,2,1.004,0.762036,40,2,0.1336,0.490070093,51.44849781,,,34.3024742,42.86505902,,,,
Forest nonirrigated,S5,3,1.0051,0.7628709,40,2,0.1462,0.563668224,59.11020848,,,27.67651442,78.58423515,,,,
Forest nonirrigated,S5,4,1.0055,0.7631745,40,2,0.1362,0.505257009,52.96372029,,,30.43723216,56.31622031,,,,
Agricultural-TWW,S6,1,1.0096,0.85816,40,2,0.3829,1.946261682,181.4357865,180.6172297,1.000620469,155.2640599,65.42931655,71.13713787,5.149871677,79.21155462,5.149871677
Agricultural-TWW,S6,2,1.0061,0.855185,40,2,0.3782,1.918808411,179.4987902,,,149.2481787,75.62652884,,,,
Agricultural-TWW,S6,3,1.0068,0.85578,40,2,0.381,1.935163551,180.9029004,,,152.1895471,71.78338319,,,,
Agricultural-TWW,S6,4,1.0074,0.85629,40,2,0.3807,1.933411215,180.6314417,,,151.9477125,71.70932291,,,,
Agricultural nonirrigated,S7,1,1.0099,0.8129695,40,2,0.2176,0.980724299,96.5078566,95.94326862,2.395033336,83.18247832,83.18247832,84.68790589,1.559642432,26.85568742,1.559642432
Agricultural nonirrigated,S7,2,1.0089,0.8121645,40,2,0.2217,1.004672897,98.96250301,,,83.50138178,83.50138178,,,,
Agricultural nonirrigated,S7,3,1.0036,0.807898,40,2,0.2139,0.95911215,94.9735882,,,86.03388173,86.03388173,,,,
Agricultural nonirrigated,S7,4,1.0076,0.811118,40,2,0.2117,0.946261682,93.32912669,,,83.93097162,86.03388173,,,,
