,,,,,,,,0.0414,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fe3+ ,,,,,,,,,,,,,,,,,,,,,,,
Samples ID,Descriptiom,Repetition,Weight (g),Weight adjust (dry soil),Volume (mL),Dilution factor,Absorbance,ha,Fe mg/kg,Fe total umol/g,Mean mg/kg,SD mg/kg,Fe total umol/kg,SD,Fe2+ umol/g,F3+ (umol),Fe3+ mean umol,SD Fe3+,,,,,
Blank1,,,,,,,0.0295,0.02955,,,,,,,,,,,,,,,
Blank2,,,,,,1,0.0296,,,,,,,,,,,,,,,,
S4,Forest - Living filter TWW irrigation,1,0.1037,0.1037,5,1,0.0594,2.627358491,126.6807373,2.268231643,135.4841996,7.304357141,2.425858542,0.130785267,0.320162408,1.948069234,2.050656784,0.080361358,,,,,
S4,Forest - Living filter TWW irrigation,2,0.1097,0.1097,5,1,0.0651,3.16509434,144.2613646,2.583014586,,,,,0.441023924,2.141990662,,,,,,,
S4,Forest - Living filter TWW irrigation,3,0.103,0.103,5,1,0.0615,2.825471698,137.1588203,2.455842799,,,,,0.384652157,2.071190641,,,,,,,
S4,Forest - Living filter TWW irrigation,4,0.1045,0.1045,5,1,0.0612,2.797169811,133.8358761,2.396345141,,,,,0.354968544,2.041376598,,,,,,,
S5,Forest - Living filter nonirrigated,1,0.1023,0.1023,5,1,0.1079,7.202830189,352.0444863,6.303392771,356.2285019,8.539152221,6.378308001,0.1528944,0.768933862,5.534458909,5.656931198,0.192659334,,,,,
S5,Forest - Living filter nonirrigated,2,0.1074,0.1074,5,1,0.1109,7.485849057,348.5032149,6.239985943,,,,,0.720215284,5.519770659,,,,,,,
S5,Forest - Living filter nonirrigated,3,0.1027,0.1027,5,1,0.1117,7.561320755,368.126619,6.591345014,,,,,0.656550485,5.934794529,,,,,,,
S5,Forest - Living filter nonirrigated,4,0.1052,0.1052,5,1,0.111,7.495283019,356.2396872,6.378508276,,,,,0.739807579,5.638700697,,,,,,,
S6,Agricultural - Living filter TWW irrigation,1,0.1017,0.1017,5,1,0.0574,2.438679245,119.8957348,2.146745475,112.8026112,5.424668848,2.019742367,0.097129254,0.497057661,1.649687814,1.455868798,0.142330135,,,,,
S6,Agricultural - Living filter TWW irrigation,2,0.1018,0.1018,5,1,0.0546,2.174528302,106.8039441,1.912335615,,,,,0.604462722,1.307872893,,,,,,,
S6,Agricultural - Living filter TWW irrigation,3,0.1052,0.1052,5,1,0.0564,2.344339623,111.4229859,1.995040033,,,,,0.573377131,1.421662903,,,,,,,
S6,Agricultural - Living filter TWW irrigation,4,0.1024,0.1024,5,1,0.0561,2.316037736,113.0877801,2.024848345,,,,,0.580596764,1.444251581,,,,,,,
S7,Agricultural - Living filter nonirrigated,1,0.103,0.103,5,1,0.0573,2.429245283,117.9245283,2.11145082,110.8614873,5.556465102,1.984986344,0.09948908,0.519549907,1.591900914,1.452188021,0.12612198,,,,,
S7,Agricultural - Living filter nonirrigated,2,0.1033,0.1033,5,1,0.0544,2.155660377,104.3398053,1.868214956,,,,,0.581527121,1.286687836,,,,,,,
S7,Agricultural - Living filter nonirrigated,3,0.1053,0.1053,5,1,0.0562,2.325471698,110.4212582,1.977103997,,,,,0.496566497,1.4805375,,,,,,,
S7,Agricultural - Living filter nonirrigated,4,0.1037,0.1037,5,1,0.0559,2.297169811,110.7603573,1.983175602,,,,,0.533549766,1.449625835,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.453042083,0.154453081,,,Calibration t=0,,
,,,,,,,,,,,,,,,,,,,,,Fe2+ (mg),Absorbance,Adjusted
,,,,,,,,,,,,,,,,,,,,,0,0.0363,0
,,,,,,,,,,,,,,,,,,,,,1,0.0484,0.0121
,,,,,,,,,,,,,,,,,,,,,2,0.0619,0.0256
,,,,,,,,,,,,,,,,,,,,,3,0.0712,0.0349
,,,,,,,,,,,,,,,,,,,,,5,0.0903,0.054
,,,,,,,,,,,,,,,,,,,,,7,0.1148,0.0785
,,,,,,,,,,,,,,,,,,,,,10,0.1432,0.1069
