ID SAMPLE,Description,Repetition,pH,pH average,SD pH,EC (uS/cm),EC average,SD EC
S4,Forest - Living filter TWW irrigation,1,7.77,7.7925,0.026299556,86,86.5,1.732050808
S4,Forest - Living filter TWW irrigation,2,7.83,,,89,,
S4,Forest - Living filter TWW irrigation,3,7.78,,,85,,
S4,Forest - Living filter TWW irrigation,4,7.79,,,86,,
S5,Forest - Living filter nonirrigated,1,4.78,4.75,0.031622777,24.22,23.6975,0.406150629
S5,Forest - Living filter nonirrigated,2,4.71,,,23.23,,
S5,Forest - Living filter nonirrigated,3,4.77,,,23.64,,
S5,Forest - Living filter nonirrigated,4,4.74,,,23.7,,
S6,Corn - Living filter TWW iirigation,1,7.7,7.77,0.050990195,309,306,2.160246899
S6,Corn - Living filter TWW iirigation,2,7.79,,,305,,
S6,Corn - Living filter TWW iirigation,3,7.82,,,304,,
S6,Corn - Living filter TWW iirigation,4,7.77,,,306,,
S7,Corn - Living filter nonirrigated,1,6.99,6.9325,0.039475731,257.7,256.275,2.109304783
S7,Corn - Living filter unirrigated,2,6.92,,,253.4,,
S7,Corn - Living filter unirrigated,3,6.9,,,258,,
S7,Corn - Living filter nonirrigated,4,6.92,,,256,,
